id;first_name;last_name;username;imagebiometric;date_of_birth;user_type
1;Aldegonde;Mathieu;deposit reboot;Aquitaine;2023-07-07;USER
2;Emmelie;Barre;Realigned;Executif Philippine;2023-07-07;USER
3;Betty;Dupuy;withdrawal technologies;Superviseur;2023-07-07;USER
4;Ascelin;Picard;Dahomey;action-items Kids;2023-07-07;USER
5;Séraphin;Mathieu;a paradigms withdrawal;index du withdrawal;2023-07-07;ADMIN
6;Alliaume;Dufour;connecting Superviseur;payment;2023-07-07;ADMIN
7;Armeline;Schneider;Account Avon;e-services Compatible;2023-07-07;USER
8;Armande;Cousin;Metal Thaïlande;Home Aquitaine Rustic;2023-07-07;ADMIN
9;Arcadie;Richard;Cotton a;c Arménie Plastic;2023-07-07;USER
10;Clio;Marchal;optimize Intelligent Provence-Alpes-Côte;deposit Persistent;2023-07-06;ADMIN
